SKU,Published,Sale price,Regular price
SKU_2NVDT60_4K8ATTD,1,6900,9900
SKU_2ZZVB7P_8F7ACMS,1,14000,55000
SKU_2NV26ZQ_4K6MLRC,1,,23700
SKU_3478TFT_7C1QD28,1,21550,32000
SKU_3APECUI_8BA7OR9,1,11320,19000
SKU_2DBK8A1_39ES54A,1,,32000
SKU_33ULF6Y_7A8A3BI,1,,15700
SKU_2VA4LO6_5SUM8HA,1,15580,16530
SKU_3425BSJ_7BB4638,1,15030,18500
SKU_1Q055I_584DGZ,1,16800,17300
SKU_2S627XR_53XIL8D,1,20000,38000
SKU_31V0CSC_6Z9LZU1,1,14790,18000
SKU_31V1AXH_6Z9Q2AQ,1,14790,19200
SKU_36UXS5B_7QQP16O,1,17900,24000
SKU_31K9MLY_6XCSC9Z,1,14900,32000
SKU_3ATBOZ3_8BR1RKB,1,21820,33000
SKU_2ZT25J0_6MOQBXS,1,15860,24000
SKU_33RYSZL_79UDS87,1,19720,23430
SKU_31EHLKH_6WCL22Y,1,26350,32000
SKU_2TF9H5F_5P871MC,1,,14800
SKU_3019XWV_6QPQDGI,1,19600,20590
SKU_3708LMX_7RLHJ4S,1,,32000
SKU_46NE2L_D68XY1,1,16200,18500
SKU_33MWTP2_792852H,1,22400,28000
SKU_303JCRF_6OEAJO4,1,19860,22000
SKU_38ONKYC_812KLCL,1,22400,32000
SKU_2WCV9PP_60J9MJ1,1,23000,27720
SKU_3AAZIXK_89IBK98,1,12300,18000
SKU_3111W43_6U4MG40,1,20260,20540
SKU_Z7A47F_1NQXPOZ,1,24700,26000
SKU_3AB19E1_89IIZYS,1,18250,25000
SKU_2KEBROK_43YSPBW,1,21400,32000
SKU_37Z6RFA_7X3WZEX,1,19200,32000
SKU_2XCNXGJ_673CBZF,1,19100,22000
SKU_2ZZWGWA_4AY0R4S,1,25890,30100
SKU_337GLK4_76ROHRM,1,23120,32280
SKU_38Q65J3_819TUGL,1,15000,18000
SKU_2W2GZUM_69M3JYX,1,30460,44000
SKU_1USE3X_5KW0WL,1,28980,28980
SKU_338CG8Z_76WKD5J,1,18520,23000
SKU_34E31I8_7D09W0B,1,24900,28800
SKU_3B0YVPF_8CPYP8J,1,,21670
SKU_355PIM7_7H54T8O,1,26250,35000
SKU_4QKA47_F0SF7I,1,,20550
SKU_2CDI2HK_36YA7H6,1,,31000
SKU_3B0L591_8CO6ZAA,1,18800,21000
SKU_10IM3FJ_1Q58NUO,1,13180,21000
SKU_329EELM_71GQGCO,1,15020,28000
SKU_P4DDIN_173VQ90,1,10480,19000
SKU_2BGXP2C_34IENIR,1,11840,20000
SKU_30UDLCR_6SYQMFV,1,14900,28000
SKU_2TF9H5E_5P871KK,1,14800,29600
SKU_2STPZOR_58H8F27,1,14400,16000
SKU_38ON8EI_812J64H,1,25850,39000
SKU_2Z33NG5_6I0GUPC,1,24340,42000
SKU_2PR8NH3_4STECYJ,1,21310,29000
SKU_QF227L_194SXEV,1,,23990
SKU_28IGNWY_2WK294V,1,20420,29000
SKU_2SAGJ8S_54NF7RC,1,16270,22000
SKU_39JIV8J_85O7ZGG,1,17260,29000
SKU_2YZ3S8G_6HBUB4C,1,15940,17000
SKU_2F3F9I_70CA3H,1,15900,19900
SKU_2U0LRJ7_5IVB7DW,1,18850,22750
SKU_2XS5RNO_69WALIK,1,15400,18000
SKU_CHB6X_1CQL4E,1,14300,19900
SKU_33J5889_78I5W8F,1,14400,18000
SKU_2JGGQKU_4HLZFA2,1,34400,35790
SKU_2FJRAY4_3I16LXN,1,26800,26800
SKU_35UV5N5_7L0ZBPY,1,,13440
SKU_2O5EQHS_4LKWJJ9,1,,32000
SKU_3ATBWDA_8BR2H29,1,18630,26000
SKU_2DJIP1W_3A2I34D,1,,24000
SKU_35RZG9L_7KLCDBQ,1,16140,24000
SKU_3A8AH6Q_896B9JO,1,14500,23000
SKU_2WPOCD0_6300ACZ,1,31390,35000
SKU_2IGEEXD_3UWV8L3,1,11150,13900
SKU_39LG0A9_85Y8YLD,1,24570,34300
SKU_34M2LT9_7EBTVFT,1,14900,30000
SKU_JSWLM1_102OJYN,1,11740,15000
SKU_2BKC5Y_6RIF4W,1,11400,11900
SKU_P22JFY_170CBX7,1,10890,18000
SKU_1HZ0EW_4OA2MH,1,15500,29800
SKU_27QOQGW_7FWXYBG,1,,30900
SKU_12QZKRF_1V5G00R,1,10350,15000
SKU_WV8QQA_1JX9UY3,1,15890,28000
SKU_386VCOS_7YG0KFR,1,29100,39000
SKU_AXI5X_8MDRDE,1,16390,27000
SKU_2VI0IAB_5UHM1JU,1,20800,33000
SKU_35MLR4T_7JSOKR1,1,14000,28000
SKU_2Y7NUW0_6CLXJ85,1,,24000
SKU_2VA608P_5SUSA43,1,22000,22500
SKU_36LZGCE_7PADB3U,1,28040,36000
SKU_3EKLNU_A17ISH,1,12150,18000
SKU_11PRPV1_1SRRJH0,1,15400,21000
SKU_2ZA93IV_6IN38VM,1,,11780
SKU_35WLSYG_7LA94OJ,1,9900,14000
SKU_38JPS5V_80GZCED,1,,11900
SKU_307WNIK_6P46YVH,1,15510,28000
SKU_30TC7VB_6SS6M6A,1,50600,55000
SKU_2TF9H5C_5P871DZ,1,14350,29600
SKU_2ZI14RP_6KMJYAX,1,14500,23000
SKU_3AZJY0K_8CJNDPP,1,11720,28000
SKU_X1W8TP_1K96ELE,1,10100,19000
SKU_2XZ3OV9_6B2F589,1,19070,27000
SKU_J4F9BS_3IX5M64,1,17600,32000
SKU_HW425F_XNCH8G,1,23940,38000
SKU_30UDLI9_6SYQNB9,1,14900,28000
SKU_2Z2RG3V_6HYGNYY,1,10110,19000
SKU_40DQUH_CQJ7CZ,1,,14720
SKU_353ENLL_1F3ZSQ2,1,13800,14000
SKU_2ZQ7XGM_6M5RJFR,1,,18530
SKU_38UOO3_9CILR1,1,8480,18000
SKU_30NQOR5_6RV9LH6,1,12510,24000
SKU_2S40XVG_53LBBHB,1,12600,21000
SKU_3BHPAZI_8EZ4811,1,13530,29000
SKU_3WAJMD_CD6LTV,1,15900,32000
SKU_37O6FXL_7V9MZUQ,1,11500,11900
SKU_R3O6R0_1A7VGJK,1,24080,26560
