Brand,Copang_number,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Allow customer reviews?,Sale price,Regular price,Categories,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
Eunyul,1954900253 - 3321905416,"simple","SKU_WBWAOT_1IXRYMG","Eunyul Daily Care Pure Bubble Sub-acidic 5.5 Foam Cleansing","-1","0","visible","Skin concerns: Weak acidity
Skin type: all skin
Area used: face
Vessel Type: Pump Type","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_WBWAOT_1IXRYMG_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_WBWAOT_1IXRYMG_2.jpg" width="100%" />","taxable",1,0,0,1,"18500","12800","Beauty > Cleansing/Peeling > Cleansing Foam","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_WBWAOT_1IXRYMG_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_WBWAOT_1IXRYMG_3.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_WBWAOT_1IXRYMG_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_WBWAOT_1IXRYMG_4.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","500ml",1,0
,6810283965 - 16108004738,"simple","SKU_34MO0QL_7EEAG02","Doctors Weak Acidic Bubble Foam Cleanser","-1","0","visible","","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_34MO0QL_7EEAG02_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_34MO0QL_7EEAG02_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_34MO0QL_7EEAG02_1.webp" width="100%" />","taxable",1,0,0,1,"25000","20000","Beauty > Cleansing/Peeling > Cleansing Foam","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_34MO0QL_7EEAG02_7.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_34MO0QL_7EEAG02_4.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_34MO0QL_7EEAG02_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_34MO0QL_7EEAG02_6.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","150ml",1,0
,6718369320 - 15619498608,"simple","SKU_333XYY0_76BG29C","Pure Beauty Hyaluron Super Aqua Cleansing Foam","-1","0","visible","Vessel Type: Pump Type
Skin type: all skin
Area used: face
Skin concerns: soothing/moisturizing","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_333XYY0_76BG29C_1.webp" width="100%" />","taxable",1,0,0,1,"0","16900","Beauty > Cleansing/Peeling > Cleansing Foam","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_333XYY0_76BG29C_2.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","500ml",1,0
Senka,6427191007 - 13854334674,"simple","SKU_2YAL0BJ_6D4IH1U","Senka All Clear Double Wash A Cleansing Foam","-1","0","visible","Container Type: Tubular
Skin type: all skin
Skin Concerns: Pores
Area used: face","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2YAL0BJ_6D4IH1U_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2YAL0BJ_6D4IH1U_2.webp" width="100%" />","taxable",1,0,0,1,"17900","14300","Beauty > Cleansing/Peeling > Cleansing Foam","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2YAL0BJ_6D4IH1U_4.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2YAL0BJ_6D4IH1U_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","240g",1,0
Senka,7151226901 - 17979200384,"simple","SKU_3A9NLZP_89CCNSW","Senka NEW Perfect Whip Collagen In A Cleansing Foam","-1","0","visible","Skin concerns: soothing/moisturizing
Skin type: all skin
Area used: face
Container Type: Tubular","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3A9NLZP_89CCNSW_1.webp" width="100%" />","taxable",1,0,0,1,"19400","15260","Beauty > Cleansing/Peeling > Cleansing Foam","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3A9NLZP_89CCNSW_2.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","120g",1,0
Dr.G,6393762139 - 13642262317,"simple","SKU_2XQOIFV_69M90Z1","Dr.G Green Deep Pore Clear Cleansing Foam","-1","0","visible","Skin Concerns: Pores
Skin type: all skin
Area used: face
Container Type: Tubular","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2XQOIFV_69M90Z1_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2XQOIFV_69M90Z1_2.webp" width="100%" />","taxable",1,0,0,1,"22000","15950","Beauty > Cleansing/Peeling > Cleansing Foam","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XQOIFV_69M90Z1_9.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XQOIFV_69M90Z1_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XQOIFV_69M90Z1_7.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XQOIFV_69M90Z1_8.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XQOIFV_69M90Z1_3.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XQOIFV_69M90Z1_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2XQOIFV_69M90Z1_4.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","200ml",1,0
,2300147779 - 3962392396,"simple","SKU_121G5DV_1TJ3TJG","Recipebox Ultra Soft Aroma Facial Cleansing Foam","-1","0","visible","","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_121G5DV_1TJ3TJG_1.webp" width="100%" />","taxable",1,0,0,1,"15100","13580","Beauty > Cleansing/Peeling > Cleansing Foam","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_121G5DV_1TJ3TJG_2.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_121G5DV_1TJ3TJG_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","150ml",1,0
,6263785976 - 12768655682,"simple","SKU_2VLAO6W_5V64LS2","Skin Beauty Pure Bubble Foam Cleansing","-1","0","visible","Vessel Type: Pump Type
Skin type: all skin
Area used: face
Skin trouble: dead skin care","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2VLAO6W_5V64LS2_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2VLAO6W_5V64LS2_1.webp" width="100%" />","taxable",1,0,0,1,"16900","16550","Beauty > Cleansing/Peeling > Cleansing Foam","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2VLAO6W_5V64LS2_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2VLAO6W_5V64LS2_4.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2VLAO6W_5V64LS2_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2VLAO6W_5V64LS2_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","160ml",1,0
,6716349049 - 15609383805,"simple","SKU_332QO3D_765F9ML","Dermotherapy Cikasan Repair Foam Cleanser 320ml + Foam Net Set","-1","0","visible","Skin concerns: trouble care
Container Type: Tubular
Skin type: all skin
Area used: face","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_332QO3D_765F9ML_1.jpg" width="100%" />","taxable",1,0,0,1,"0","13800","Beauty > Cleansing/Peeling > Cleansing Foam","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_332QO3D_765F9ML_3.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_332QO3D_765F9ML_4.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","320ml",1,0
Senka,7151226152 - 17979197339,"simple","SKU_3A9NLEW_89CCLGB","Senka NEW Perfect Whip Acne Care Cleansing Foam","-1","0","visible","Container Type: Tubular
Skin type: sensitive/problematic
Skin concerns: trouble care
Area used: face","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3A9NLEW_89CCLGB_1.webp" width="100%" />","taxable",1,0,0,1,"0","18620","Beauty > Cleansing/Peeling > Cleansing Foam","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3A9NLEW_89CCLGB_2.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","100g",1,0
