Brand,Copang_number,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Allow customer reviews?,Regular price,Sale price,Categories,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
,3663021 - 18065884,simple,SKU_26IEL_AR7Q4,Own Beauty Age Defy Sugar Scrub Green Tea + Cucumber,-1,0,visible,Skin type: all skin,"<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_26IEL_AR7Q4_2.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_26IEL_AR7Q4_4.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_26IEL_AR7Q4_1.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_26IEL_AR7Q4_3.webp"" width=""100%"" />""",taxable,1,0,0,1,18200,,Beauty > Cleansing/Peeling > Scrub/Peeling > Powder/Scrub,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_26IEL_AR7Q4_7.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_26IEL_AR7Q4_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_26IEL_AR7Q4_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_26IEL_AR7Q4_8.webp,",0,KeySpecifications,Unknown (seller information not provided),1,0,Capacity,ejaculate,1,0
,1267893 - 5515443,simple,SKU_R6B9_3A7QR,Shea Moisture African Black Soap Problem Skin Facial Wash & Scrub,-1,0,visible,"Skin type: all skin
Import Type: Overseas Direct Delivery
Container Type: Tubular","<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_R6B9_3A7QR_3.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_R6B9_3A7QR_1.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_R6B9_3A7QR_5.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_R6B9_3A7QR_4.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_R6B9_3A7QR_2.webp"" width=""100%"" />""",taxable,1,0,0,1,17100,,Beauty > Cleansing/Peeling > Scrub/Peeling > Powder/Scrub,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_R6B9_3A7QR_8.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_R6B9_3A7QR_9.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_R6B9_3A7QR_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_R6B9_3A7QR_7.webp,",0,KeySpecifications,Unknown (seller information not provided),1,0,Capacity,118ml,1,0
,2304970414 - 18173716396,simple,SKU_124BIJY_8CK5TBG,Charmzone DR Frog Control-Tox Peeling Gel,-1,0,visible,,"<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_124BIJY_8CK5TBG_1.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_124BIJY_8CK5TBG_2.webp"" width=""100%"" />""",taxable,1,0,0,1,126000,25300,Beauty > Cleansing/Peeling > Scrub/Peeling > Gel/Gommage/Cream,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_124BIJY_8CK5TBG_3.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,120ml,1,0
,7158925306 - 18012834560,simple,SKU_3AE8M4A_89WDK3K,Rosette Gommage Refreshing Type,-1,0,visible,,"<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3AE8M4A_89WDK3K_13.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3AE8M4A_89WDK3K_11.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3AE8M4A_89WDK3K_10.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3AE8M4A_89WDK3K_6.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3AE8M4A_89WDK3K_12.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3AE8M4A_89WDK3K_9.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3AE8M4A_89WDK3K_1.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3AE8M4A_89WDK3K_5.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3AE8M4A_89WDK3K_7.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3AE8M4A_89WDK3K_8.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3AE8M4A_89WDK3K_3.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3AE8M4A_89WDK3K_2.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3AE8M4A_89WDK3K_4.webp"" width=""100%"" />""",taxable,1,0,0,1,15320,,Beauty > Cleansing/Peeling > Scrub/Peeling > Gel/Gommage/Cream,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3AE8M4A_89WDK3K_13.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3AE8M4A_89WDK3K_11.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3AE8M4A_89WDK3K_10.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3AE8M4A_89WDK3K_12.webp,",0,KeySpecifications,Unknown (seller information not provided),1,0,Capacity,120g,1,0
,94792953 - 698094396,simple,SKU_1KFQPL_BJML30,Alba Botanica Acne Dot Clearing Gel Peel,-1,0,visible,,,taxable,1,0,0,1,17400,,Beauty > Cleansing/Peeling > Scrub/Peeling > Gel/Gommage/Cream,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1KFQPL_BJML30_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1KFQPL_BJML30_4.webp,",0,KeySpecifications,Unknown (seller information not provided),1,0,Capacity,113g,1,0
Revlon,102753683 - 313001713,simple,SKU_1P6D8Z_56CPO1,Revlon Exfoliating Balm 2.6g,-1,0,visible,Weight per piece: 2.6g,,taxable,1,0,0,1,11900,,Beauty > Makeup > Lip Makeup > Lip Care,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1P6D8Z_56CPO1_7.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1P6D8Z_56CPO1_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_1P6D8Z_56CPO1_5.webp,",0,KeySpecifications,Unknown (seller information not provided),1,0,Capacity,2. shg,1,0
,70404653 - 14839169048,simple,SKU_15X0KT_6TEUW48,Biore Charcoal Acne Scrub,-1,0,visible,,"<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_15X0KT_6TEUW48_1.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_15X0KT_6TEUW48_2.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_15X0KT_6TEUW48_3.webp"" width=""100%"" />""",taxable,1,0,0,1,22000,,Beauty > Cleansing/Peeling > Scrub/Peeling > Powder/Scrub,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_15X0KT_6TEUW48_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_15X0KT_6TEUW48_4.webp,",0,KeySpecifications,Unknown (seller information not provided),1,0,Capacity,127g,1,0
Second Design,5695827012 - 2288961416,simple,SKU_2M75C90_11USDXK,Second Design Spring E Peeling Gel Tone Up Boost,-1,0,visible,"Skin type: all skin
Container Type: Tubular","<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2M75C90_11USDXK_1.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2M75C90_11USDXK_3.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2M75C90_11USDXK_2.webp"" width=""100%"" />""",taxable,1,0,0,1,10000,8500,Beauty > Cleansing/Peeling > Scrub/Peeling > Gel/Gommage/Cream,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2M75C90_11USDXK_4.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,120ml,1,0
,6610474440 - 15155208577,simple,SKU_31BPEQ0_6YN0PS1,Alione mild sebum removal 120g,-1,0,visible,,"<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_31BPEQ0_6YN0PS1_10.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_31BPEQ0_6YN0PS1_7.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_31BPEQ0_6YN0PS1_1.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_31BPEQ0_6YN0PS1_5.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_31BPEQ0_6YN0PS1_3.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_31BPEQ0_6YN0PS1_9.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_31BPEQ0_6YN0PS1_8.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_31BPEQ0_6YN0PS1_2.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_31BPEQ0_6YN0PS1_6.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_31BPEQ0_6YN0PS1_4.webp"" width=""100%"" />""",taxable,1,0,0,1,15000,11500,Beauty > Cleansing/Peeling > Scrub/Peeling > Gel/Gommage/Cream,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_31BPEQ0_6YN0PS1_10.webp,",0,KeySpecifications,content reference,1,0,Capacity,content reference,1,0
,4924533117 - 6459417332,simple,SKU_29FXU2L_2YTRQB8,Clalab PHA Tone-up Hypoallergenic Toner Pad Acne Pad Facial Exfoliation Care Exfoliation Pad Wiping Toner Soothing Pad,-1,0,visible,Container type: jar type,"<img src=https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_29FXU2L_2YTRQB8_10.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_29FXU2L_2YTRQB8_11.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_29FXU2L_2YTRQB8_4.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_29FXU2L_2YTRQB8_7.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_29FXU2L_2YTRQB8_6.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_29FXU2L_2YTRQB8_5.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_29FXU2L_2YTRQB8_9.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_29FXU2L_2YTRQB8_2.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_29FXU2L_2YTRQB8_1.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_29FXU2L_2YTRQB8_8.webp"" width=""100%"" /><img src=""https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_29FXU2L_2YTRQB8_3.webp"" width=""100%"" />""",taxable,1,0,0,1,32000,22000,Beauty > Cleansing/Peeling > Scrub/Peeling > Peeling Pad,"https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_29FXU2L_2YTRQB8_10.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_29FXU2L_2YTRQB8_11.webp,",0,KeySpecifications,for all skin types,1,0,Capacity,60 sheets 117ml,1,0
