Brand,Copang_number,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Tax status,In stock?,Backorders allowed?,Sold individually?,Allow customer reviews?,Sale price,Regular price,Categories,Images,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global
Skin Food,6795871846 - 16024014882,"simple","SKU_34E349Y_7D0A90I","SKINFOOD Yuja Seed Clear Blemish Serum","-1","0","visible","","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_34E349Y_7D0A90I_1.webp" alt="SKU_34E349Y_7D0A90I_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_34E349Y_7D0A90I_2.webp" alt="SKU_34E349Y_7D0A90I_2.webp" width="100%" />","taxable",1,0,0,1,"24260","17000","Beauty > Clean/Vegan Beauty > Skin Care","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_34E349Y_7D0A90I_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","50ml",1,0
One Thing,7151410670 - 17979969405,"simple","SKU_3A9RJSE_89CT56L","One Thing Centella Asiatica Serum","-1","0","visible","Skin type: all skin
Area used: face
Container type: dropper type
Skin concerns: soothing/moisturizing","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3A9RJSE_89CT56L_1.webp" alt="SKU_3A9RJSE_89CT56L_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3A9RJSE_89CT56L_2.webp" alt="SKU_3A9RJSE_89CT56L_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3A9RJSE_89CT56L_3.webp" alt="SKU_3A9RJSE_89CT56L_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_3A9RJSE_89CT56L_4.webp" alt="SKU_3A9RJSE_89CT56L_4.webp" width="100%" />","taxable",1,0,0,1,"0","17900","Beauty > Skin Care > Essence/Serum/Ampoule","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3A9RJSE_89CT56L_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3A9RJSE_89CT56L_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_3A9RJSE_89CT56L_7.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","80ml",1,0
Charm Zone,6081820384 - 11278412110,"simple","SKU_2SKYIN4_56IVIHA","DAGE Retinol Pro Cream Essence","-1","0","visible","Skin type: all skin
Area used: face
Skin concerns: soothing/moisturizing","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_1.webp" alt="SKU_2SKYIN4_56IVIHA_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_2.webp" alt="SKU_2SKYIN4_56IVIHA_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_3.webp" alt="SKU_2SKYIN4_56IVIHA_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_4.webp" alt="SKU_2SKYIN4_56IVIHA_4.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_5.webp" alt="SKU_2SKYIN4_56IVIHA_5.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_6.webp" alt="SKU_2SKYIN4_56IVIHA_6.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_7.webp" alt="SKU_2SKYIN4_56IVIHA_7.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_8.webp" alt="SKU_2SKYIN4_56IVIHA_8.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_9.webp" alt="SKU_2SKYIN4_56IVIHA_9.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_10.webp" alt="SKU_2SKYIN4_56IVIHA_10.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2SKYIN4_56IVIHA_11.webp" alt="SKU_2SKYIN4_56IVIHA_11.webp" width="100%" />","taxable",1,0,0,1,"32000","7630","Beauty > Skin Care > Essence/Serum/Ampoule","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2SKYIN4_56IVIHA_12.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2SKYIN4_56IVIHA_13.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","30ML",1,0
Necipic,6269292255 - 12812195603,"simple","SKU_2VOKOV3_5VW1TEB","Necipic Origin Red Salicylic Acid Spot Cream","-1","0","visible","Skin type: sensitive/problematic
Skin concerns: trouble care
Fragrance: Frankincense
Area used: face","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2VOKOV3_5VW1TEB_1.jpg" alt="SKU_2VOKOV3_5VW1TEB_1.jpg" width="100%" />","taxable",1,0,0,1,"16000","12800","Beauty > Skin Care > Essence/Serum/Ampoule","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2VOKOV3_5VW1TEB_2.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2VOKOV3_5VW1TEB_3.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","20ml",1,0
,5580946457 - 8918622867,"simple","SKU_2KAR1UH_43HX1G3","Nez Nature DIY Beta Glucan Ampoule undiluted solution","-1","0","visible","Skin type: all skin
Container type: dropper type
Skin concerns: soothing/moisturizing
Area used: face","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_1.webp" alt="SKU_2KAR1UH_43HX1G3_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_2.webp" alt="SKU_2KAR1UH_43HX1G3_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_3.webp" alt="SKU_2KAR1UH_43HX1G3_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_4.webp" alt="SKU_2KAR1UH_43HX1G3_4.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_5.webp" alt="SKU_2KAR1UH_43HX1G3_5.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_6.webp" alt="SKU_2KAR1UH_43HX1G3_6.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_7.webp" alt="SKU_2KAR1UH_43HX1G3_7.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_8.webp" alt="SKU_2KAR1UH_43HX1G3_8.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_9.webp" alt="SKU_2KAR1UH_43HX1G3_9.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_10.webp" alt="SKU_2KAR1UH_43HX1G3_10.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_11.webp" alt="SKU_2KAR1UH_43HX1G3_11.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_12.webp" alt="SKU_2KAR1UH_43HX1G3_12.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_13.webp" alt="SKU_2KAR1UH_43HX1G3_13.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_14.webp" alt="SKU_2KAR1UH_43HX1G3_14.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_15.webp" alt="SKU_2KAR1UH_43HX1G3_15.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2KAR1UH_43HX1G3_16.webp" alt="SKU_2KAR1UH_43HX1G3_16.webp" width="100%" />","taxable",1,0,0,1,"0","8890","Beauty > Skin Care > Essence/Serum/Ampoule","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2KAR1UH_43HX1G3_17.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","20ml",1,0
Mamonde,7115382233 - 17800881957,"simple","SKU_39OBC2H_86E6OF9","Mamonde Rose Hydra Glory Ampoule","-1","0","visible","Components: Ampoule
Skin type: all skin
Skin concerns: soothing/moisturizing
Fragrance: Floral scent","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_39OBC2H_86E6OF9_1.jpg" alt="SKU_39OBC2H_86E6OF9_1.jpg" width="100%" />","taxable",1,0,0,1,"36000","21100","Beauty > Skin Care > Essence/Serum/Ampoule","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_39OBC2H_86E6OF9_2.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","50ml",1,0
,5231273130 - 7366387487,"simple","SKU_2EIKC6I_3DTR8YN","Nard Tea Tree Soothing Moisture Serum","-1","0","visible","Components: original product
Skin type: all skin
Weight per piece: 75ml
Skin concerns: soothing/moisturizing","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_1.webp" alt="SKU_2EIKC6I_3DTR8YN_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_2.webp" alt="SKU_2EIKC6I_3DTR8YN_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_3.webp" alt="SKU_2EIKC6I_3DTR8YN_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_4.webp" alt="SKU_2EIKC6I_3DTR8YN_4.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_5.webp" alt="SKU_2EIKC6I_3DTR8YN_5.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_6.webp" alt="SKU_2EIKC6I_3DTR8YN_6.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_7.webp" alt="SKU_2EIKC6I_3DTR8YN_7.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_8.webp" alt="SKU_2EIKC6I_3DTR8YN_8.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_9.webp" alt="SKU_2EIKC6I_3DTR8YN_9.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_10.webp" alt="SKU_2EIKC6I_3DTR8YN_10.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_11.webp" alt="SKU_2EIKC6I_3DTR8YN_11.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_12.webp" alt="SKU_2EIKC6I_3DTR8YN_12.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_13.webp" alt="SKU_2EIKC6I_3DTR8YN_13.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_14.webp" alt="SKU_2EIKC6I_3DTR8YN_14.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2EIKC6I_3DTR8YN_15.webp" alt="SKU_2EIKC6I_3DTR8YN_15.webp" width="100%" />","taxable",1,0,0,1,"20000","9900","Beauty > Skin Care > Essence/Serum/Ampoule","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2EIKC6I_3DTR8YN_16.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2EIKC6I_3DTR8YN_17.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2EIKC6I_3DTR8YN_18.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2EIKC6I_3DTR8YN_19.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","I guess",1,0
,5164456909 - 7113139809,"simple","SKU_2DES8GD_39MZ9SX","Milk Touch Glossy Moisture Ampoule","-1","0","visible","Skin concerns: soothing/moisturizing
Container type: dropper type","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2DES8GD_39MZ9SX_1.webp" alt="SKU_2DES8GD_39MZ9SX_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2DES8GD_39MZ9SX_2.webp" alt="SKU_2DES8GD_39MZ9SX_2.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2DES8GD_39MZ9SX_3.webp" alt="SKU_2DES8GD_39MZ9SX_3.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2DES8GD_39MZ9SX_4.webp" alt="SKU_2DES8GD_39MZ9SX_4.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2DES8GD_39MZ9SX_5.webp" alt="SKU_2DES8GD_39MZ9SX_5.webp" width="100%" />","taxable",1,0,0,1,"32000","16650","Beauty > Skin Care > Essence/Serum/Ampoule","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2DES8GD_39MZ9SX_6.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2DES8GD_39MZ9SX_7.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","40ml",1,0
Isoi,6245563759 - 2905283343,"simple","SKU_2VAG3U7_1C1QAZ3","Isoi Bulgarian Rose Intensive Lifting Spot 25ml + Intensive Energizing Cream EX 7ml","-1","0","visible","Skin concerns: Elasticity
Fragrance: Floral scent
Fragrance: Frankincense
Components: 25ml+7ml","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_2VAG3U7_1C1QAZ3_1.webp" alt="SKU_2VAG3U7_1C1QAZ3_1.webp" width="100%" />","taxable",1,0,0,1,"39000","31360","Beauty > Clean/Vegan Beauty > Skin Care","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_2VAG3U7_1C1QAZ3_2.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","content reference",1,0
,36964080 - 136126324,"simple","SKU_M09O0_291NQS","Herbal Face Food Serum","-1","0","visible","Skin type: all skin
Skin concerns: Elasticity
Area used: face
Container type: dropper type","<img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_M09O0_291NQS_1.webp" alt="SKU_M09O0_291NQS_1.webp" width="100%" /><img src="https://www.celmadekorea.com/wp-content/uploads/product_images/main/SKU_M09O0_291NQS_2.webp" alt="SKU_M09O0_291NQS_2.webp" width="100%" />","taxable",1,0,0,1,"91270","90280","Beauty > Skin Care > Essence/Serum/Ampoule","https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_M09O0_291NQS_3.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_M09O0_291NQS_4.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_M09O0_291NQS_5.webp, https://www.celmadekorea.com/wp-content/uploads/product_images/images/SKU_M09O0_291NQS_6.webp,",0,"KeySpecifications","for all skin types",1,0,"Capacity","discount",1,0
